ID,iq,wm
6057,93,7
2723,86,7
1088,97,9
8687,87,8
4223,77,11
369,95,9
4909,106,8
8091,105,9
4486,93,10
7022,100,9
9430,100,8
6308,108,10
4225,111,10
9080,93,10
1034,106,8
3948,107,8
7311,108,8
8768,97,9
3109,78,9
1637,96,9
8319,88,9
5505,91,9
3237,108,10
3588,80,10
377,95,9
3598,83,10
3084,101,10
1654,96,8
7031,104,11
4921,94,10
2660,109,11
4343,105,9
8716,84,9
5247,95,9
4166,91,9
1157,102,10
3886,100,8
4133,106,9
7114,107,9
5535,95,8
9088,126,10
1470,89,10
5454,107,10
1385,86,9
7327,105,10
3668,89,9
3933,106,9
3821,109,10
2900,87,9
5030,103,11
6104,113,11
5010,112,9
5735,99,10
8219,98,9
6703,114,10
927,101,9
7679,103,9
4296,110,9
5284,91,10
7604,113,9
1199,111,10
8870,77,9
5940,93,8
4010,105,10
3321,92,11
4416,110,10
5576,95,8
7562,106,10
2571,100,10
2899,82,10
4081,87,12
1732,88,11
3037,115,10
3085,96,9
4978,89,8
8075,111,9
5439,109,8
3403,106,10
6183,107,10
6074,112,9
9413,88,8
6367,88,9
453,71,8
7047,103,9
4245,109,9
1122,92,10
1352,98,9
8077,103,8
4091,92,10
3351,92,9
9336,100,11
6037,95,11
8436,108,8
3108,120,9
4112,87,11
2267,104,10
3484,96,8
6776,118,9
5022,75,10
7663,103,8
1099,102,9
7541,87,8
1387,113,10
2911,98,9
9044,92,8
6891,102,10
2630,109,9
747,103,10
6416,83,10
371,96,10
4085,116,10
5624,107,10
7532,114,8
8669,108,9
6753,115,10
8731,78,10
89,90,12
8169,101,10
2008,101,10
2797,106,9
2132,108,10
8667,104,11
5841,95,10
4149,110,8
5134,99,8
8487,109,9
2214,99,11
5734,94,10
906,123,10
9006,91,10
2033,97,9
6642,96,9
5487,104,10
5103,94,10
4714,83,9
5665,105,7
2636,113,10
4588,86,10
3008,101,10
8241,89,10
5414,84,11
7635,106,10
7100,92,9
2753,109,10
7789,102,9
6040,92,9
83,103,10
8580,102,9
2548,97,9
6299,107,10
8343,114,9
5485,103,13
4426,78,8
9548,89,9
2274,99,11
9979,107,9
9939,71,9
3449,101,9
2801,89,9
3742,95,8
9481,108,10
5114,102,10
4372,86,10
812,96,9
1938,104,9
384,85,11
8237,113,10
8192,98,9
1388,118,10
4620,98,10
2598,97,9
141,107,7
5615,89,7
2012,111,8
5634,94,10
8218,91,11
2142,112,9
50,94,8
9473,89,9
7490,94,9
7162,103,11
2511,107,10
5412,106,9
5883,98,12
8358,113,10
6472,96,9
8959,83,10
5719,108,9
5961,107,8
3251,103,9
9786,93,10
4007,107,9
2848,90,10
4775,82,8
654,108,11
8557,114,8
2106,90,7
7402,108,10
2573,120,9
6148,114,11
5518,117,8
7137,85,9
3035,98,8
9335,120,12
7834,94,9
5231,97,10
1087,105,10
2826,102,8
9386,100,6
4305,96,9
1409,89,10
4616,92,11
5351,86,8
2312,102,10
54,91,8
5314,85,10
1391,87,10
6395,94,9
3220,85,8
2002,98,10
2236,110,10
2484,100,8
3864,96,11
5230,89,10
1214,109,8
668,113,10
2295,101,10
4546,109,12
1065,106,10
5262,98,8
9300,106,9
3060,109,11
7975,93,9
9272,89,10
7839,97,8
8730,108,9
154,97,9
7290,110,11
244,107,9
5845,84,10
6358,94,10
3843,103,8
3407,88,9
9643,93,10
4776,111,10
533,110,9
4292,84,8
5969,69,8
3328,88,8
7076,95,9
7471,110,9
2224,100,11
3781,108,9
7282,106,10
6508,98,10
3118,107,8
4773,97,8
5238,71,10
2691,82,11
7682,100,10
1909,92,10
8050,74,12
457,95,9
4487,104,10
2422,88,8
3988,89,11
2152,92,10
9071,92,10
6625,82,9
4709,95,9
966,111,9
239,80,11
441,92,8
4233,115,10
1303,92,9
5532,88,9
1460,105,11
8783,93,10
42,106,9
3056,106,9
464,98,10
872,94,9
2646,101,9
999,104,11
4413,82,10
3839,108,10
6859,96,9
5444,105,9
6742,89,9
5215,102,9
9403,100,8
8228,96,10
2530,97,10
9491,108,8
6282,86,8
394,122,11
9647,94,8
1951,100,10
359,103,9
1759,94,9
2632,108,8
5616,102,10
988,87,11
27,99,10
9716,97,11
5482,92,9
2491,98,8
9121,101,11
7958,100,9
8162,83,11
362,83,8
6644,107,10
1420,117,10
1415,99,9
9449,110,10
9356,90,9
3739,108,10
9574,96,10
6352,109,9
3866,97,9
134,93,8
6390,88,8
8544,100,8
2802,96,8
659,90,9
18,100,9
7414,96,9
8214,112,8
8359,96,9
15,102,10
6254,71,10
7270,97,11
8167,101,12
9839,123,9
3895,91,10
7572,88,10
7462,98,9
3142,117,11
9388,94,10
5372,94,12
6676,98,10
8500,101,9
7472,108,9
7832,92,9
1597,105,9
8705,106,8
9170,95,9
8412,103,9
1299,104,9
4842,113,9
8840,106,9
6476,101,9
5347,99,9
6928,102,9
9421,104,10
7957,96,11
1439,96,9
2547,96,10
7652,109,9
5321,100,8
4867,116,10
615,99,10
8346,105,9
9236,100,8
7073,83,10
9699,98,10
1381,122,10
950,82,10
2760,116,9
6804,97,8
8415,98,10
5652,96,8
9684,111,10
6176,119,9
7716,101,11
4657,99,10
9559,107,9
5032,99,10
5100,109,10
5006,105,11
3879,92,9
6154,87,9
2120,106,9
9150,105,10
6668,91,9
8525,78,10
4750,106,7
8190,101,11
7008,91,10
5633,88,8
2545,113,9
1492,93,11
6746,108,7
775,109,8
5018,94,9
1309,98,8
8274,96,9
7453,88,9
2673,100,9
9671,74,9
4364,109,8
9142,118,10
4692,99,9
119,107,9
6639,94,10
7683,97,9
8471,96,10
1823,93,10
1517,89,10
3573,114,9
9636,90,9
9801,88,9
5123,107,11
9841,98,10
3585,87,10
9552,94,10
2824,94,9
1266,91,10
7306,100,10
8386,102,8
7569,90,9
6720,110,12
6950,110,9
6116,88,11
9389,96,11
5159,99,10
9696,87,8
4224,97,9
2150,111,10
4866,98,10
309,101,9
6574,99,9
4281,99,10
1987,131,10
2811,104,9
6236,99,9
1369,102,11
9983,93,9
4253,110,10
3191,106,10
370,79,10
9122,99,10
3852,92,9
3786,101,8
2766,100,12
2563,114,10
6941,92,8
6227,118,11
6920,105,8
5785,99,10
1265,97,8
7177,118,10
6156,95,9
586,86,10
3778,96,9
5847,82,10
8552,97,10
4634,92,9
1704,102,8
9168,108,9
6786,118,8
7788,94,9
8664,97,8
2159,119,11
9803,97,9
4322,98,10
1244,98,9
4496,94,9
8206,95,10
3078,111,8
3894,97,9
5107,100,11
9536,90,9
1062,100,11
7445,79,8
3208,106,12
4406,89,10
6607,109,10
5178,99,10
8365,103,9
7640,96,8
7655,121,9
9670,103,10
8338,98,11
8923,94,9
8748,101,9
9283,89,9
3222,93,9
934,95,10
